(nach)denken,über,AKKUSATIV,(to) think about,1
abhängen,von,DATIV,(to) depend on,1
achten,auf,DATIV,(to) take care of,1
ändern,an,DATIV,(to) change about,1
anfangen,mit,DATIV,(to) start with,1
ankommen,auf,AKKUSATIV,(to) depend on,1
antworten,auf,AKKUSATIV,(to) answer to,1
arbeiten,an,DATIV,(to) work on,1
arbeiten,bei,DATIV,(to) work at,1
arbeiten,für,AKKUSATIV,(to) work for,1
auffordern,zu,DATIV, (to) invite to,1
aufhören,mit,DATIV,(to) stop (with),1
aufpassen,auf,AKKUSATIV,(to) take care of,1
aumerksam machen,auf,AKKUSATIV,to make something notice,1
ausgeben,für,AKKUSATIV,(to) spend for,1
beginnen,mit,DATIV,(to) begin with,1
begrenzen,auf,AKKUSATIV,(to) limit to,1
begründen,mit,DATIV,(to) motivate with,1
beitragen,zu,DATIV,(to) contribute to,1
berichten,über,AKKUSATIV,(to) refer on,1
berichten,von,DATIV,(to) refer about,1
bestehen,auf,AKKUSATIV,(to) insist on,1
bestehen,aus,DATIV,(to) consist of,1
betrachten,als,AKKUSATIV,(to) consider as,1
bezeichnen,als,AKKUSATIV,(to) define as,1
bitten,um,AKKUSATIV,(to) ask / plead for,1
danken,für,AKKUSATIV,(to) thank for,1
demonstrieren,für,AKKUSATIV,(to) demonstrate for,1
denken,an,AKKUSATIV,(to) think of,1
diskutieren,über,AKKUSATIV,(to) discuss,1
diskutieren,mit,DATIV,(to) discuss with,1
duften,nach,DATIV,(to) smell of,1
einladen,zu,DATIV,(to) invite to,1
erfahren,von,DATIV,(to) learn about,1
erkennen,an,DATIV,(to) recognise,1
erschrecken,über,AKKUSATIV,(to) get frightened by,1
erzählen,über,AKKUSATIV,(to) talk of / about,1
erzählen,von,DATIV,(to) tell about,1
fliehen,vor,DATIV,(to) flee from,1
fragen,nach,DATIV,(to) ask for,1
garantieren,für,AKKUSATIV,(to) grant for,1
gehen,um,AKKUSATIV,(to) revolve around,1
gehören,zu,DATIV,(to) belong to,1
geraten,in,AKKUSATIV,(to) be caught in,1
glauben,an,AKKUSATIV,(to) believe in,1
gratulieren,zu,DATIV,(to) gratulate on,1
halten,für,AKKUSATIV,(to) take for,1
halten,von,DATIV,(to) think of / regard,1
handeln,mit,DATIV,(to) trade with / in,1
handeln,von,DATIV,(to) revolve around / be about,1
helfen,bei,DATIV,(to) help with,1
hindern,an,DATIV,(to) prevent from,1
hoffen,auf,AKKUSATIV,(to) hope for,1
hören,von,DATIV,(to) hear of,1
infomieren,über,AKKUSATIV,(to) inform about,1
kämpfen,für,AKKUSATIV,(to) fight for,1
kämpfen,gegen,AKKUSATIV,(to) fight against,1
klagen,über,AKKUSATIV,(to) complain about,1
kommen,zu,DATIV,(to) come to,1
lachen,über,AKKUSATIV,(to) laugh about,1
leben,von,DATIV,(to) live off,1
leiden,an,DATIV,(to) suffer from,1
leiden,unter,AKKUSATIV,(to) suffer from,1
neigen,zu,DATIV, (to) be willing to,1
passen,zu,DATIV, (to) fit,1
profitieren,von,DATIV, (to) take advantage of,1
protestieren,gegen,AKKUSATIV,(to) protest against,1
raten,zu,DATIV,(to) suggest,1
rechnen,mit,DATIV,(to) count on,1
reden,über,AKKUSATIV,(to) talk about,1
reden,von,DATIV,(to) talk about,1
riechen,nach,DATIV,(to) smell like,1
sagen,über,AKKUSATIV,(to) speak / say about,1
sagen,zu,DATIV,(to) say to,1
schicken,an,AKKUSATIV,(to) send to,1
schicken,zu,DATIV,(to) send to,1
schimpfen,über,AKKUSATIV,(to) complain / swear about,1
schmecken,nach,DATIV,(to) taste like,1
schreiben,an,AKKUSATIV,(to) write to,1
sein,für,AKKUSATIV,(to) be for,1
sein,gegen,AKKUSATIV,(to) be against,1
sinken(von),auf,AKKUSATIV,(to) to fall onto,1
sich amüsieren,über,AKKUSATIV,to have fun with,1
sich ärgern,über,AKKUSATIV,(to) get angry about / with,1
sich äußern,über,AKKUSATIV,(to) express on,1
sich auswirken,auf,AKKUSATIV,(to) influence on,1
sich bedanken,bei,DATIV,(to) thank someone,1
sich bedanken,für,AKKUSATIV,(to) thank for,1
sich befassen,bei,DATIV,(to) deal with,1
sich bemühen,um,AKKUSATIV,(to) be eager for,1
sich beschäftigen,mit,DATIV,(to) deal with,1
sich beschweren,bei,DATIV,(to) complain to,1
sich beteiligen,an,DATIV,(to) take part in,1
sich bewerben,bei,DATIV,(to) apply at,1
sich bewerben,um,AKKUSATIV,(to) apply for,1
sich beziehen,auf,AKKUSATIV,(to) refer to,1
sich eignen,für,AKKUSATIV,(to) be adapt for,1
sich einrichten,auf,AKKUSATIV,(to) prepare for,1
sich entscheiden,für,AKKUSATIV,(to) decide on,1
sich entschließen,zu,DATIV,(to) resolve to,1
sich entschuldigen,bei,DATIV,(to) apologize to,1
sich entschuldigen,für,AKKUSATIV,(to) apologize for,1
sich ergeben,aus,DATIV,(to) result from,1
sich erholen,von,DATIV,(to) recover from,1
sich erhöhen(von),auf,AKKUSATIV,(to) increase,1
sich erinnern,an,AKKUSATIV,(to) recall / remember,1
sich erkundigen,nach,DATIV,(to) ask after,1
sich freuen,auf,AKKUSATIV,(to) look forward to,1
sich freuen,über,AKKUSATIV,(to) rejoice about,1
sich fürchten,vor,DATIV,(to) be scared of,1
sich gewöhnen,an,AKKUSATIV,(to) get used to,1
sich handeln,um,AKKUSATIV,(to) be about,1
sich informieren,über,AKKUSATIV,(to) inform oneself about,1
sich interessieren,für,AKKUSATIV,(to) be interested in,1
sich konzentrieren,auf,AKKUSATIV,(to) concentrate on,1
sich kümmern,um,AKKUSATIV,(to) take care of / care for,1
sich schützen,gegen,AKKUSATIV,(to) protect oneself from,1
sich schützen,vor,DATIV,(to) protect oneself from,1
sich sorgen,um,AKKUSATIV,(to) worry about / for,1
sich stützen,auf,AKKUSATIV,(to) base on,1
sich treffen,mit,DATIV,(to) meet with,1
sich treffen,zu,DATIV,(to) meet for,1
sich unterhalten,mit,DATIV,(to) talk with,1
sich unterhalten,über,AKKUSATIV,(to) talk about,1
sich verabreden,mit,DATIV,(to) arrange (to meet) with,1
sich verabschieden,von,DATIV,(to) say goodbye to,1
sich verlassen,auf,AKKUSATIV,(to) rely on,1
sich verstehen,mit,DATIV,(to) get along with,1
sich vorbereiten,auf,AKKUSATIV,(to) prepare oneself for,1
sich wenden,an,AKKUSATIV,(to) turn to,1
sich wundern,über,AKKUSATIV,(to) wonder about,1
sorgen,für,AKKUSATIV,(to) care for,1
spielen,mit,DATIV,(to) play with,1
sprechen,mit,DATIV,(to) speak with,1
sprechen,über,AKKUSATIV,(to) talk about,1
stammen,aus,DATIV,(to) descend from,1
steigen(von),auf,AKKUSATIV,(to) jump into,1
steigern,um,AKKUSATIV,(to) increase,1
sterben,an,AKKUSATIV,(to) die of,1
streben,nach,DATIV,(to) strive for,1
streiten,mit,DATIV,(to) argue with,1
streiten,über,AKKUSATIV,(to) argue about,1
suchen,nach,DATIV,(to) search for,1
teilnehmen,an,DATIV,(to) participate in,1
telefonieren,mit,DATIV,(to) call,1
träumen,von,DATIV,(to) dream of,1
verbinden,mit,DATIV,(to) make someone communicate,1
verfügen,über,AKKUSATIV,(to) have available,1
vergleichen,mit,DATIV,(to) compare to / with,1
verstehen,von,DATIV,(to) be versed in / skilled in,1
verweisen,auf,AKKUSATIV(to) refer to,1
verzichten,auf,AKKUSATIV,(to) renounce to,1
warnen,vor,DATIV,(to) warn of,1
warten,auf,AKKUSATIV,(to) wait for,1
werden,zu,DATIV,(to) become,1
wissen,von,DATIV,(to) know about,1
zählen,zu,DATIV,(to) include among,1
zuhören,bei,DATIV,(to) listen to,1
zuschauen / zusehen,bei,DATIV,(to) watch,1
zweifeln,an,DATIV,(to) doubt,1
